sku,brand,caption,unit,badge,link,image_url,price,per_unit,regular_price,promo_price,availability
2097048,BRIT,"pełnoporcjowa karma sucha dla dorosłych kotów po zabiegu sterylizacji, o smaku jagnięciny z indykiem",800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Brit-pelnoporcjowa-karma-sucha-dla-doroslych-kotow-po-zabiegu-sterylizacji-o-smaku-jagnieciny-z-ind,2097048,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2097048_360_350_1734435017.webp,"19,49 zł","100 g = 2,44 zł",29.99,19.49,Niedostępny online; Sprawdź dostępność w drogerii
2097047,BRIT,"pełnoporcjowa karma sucha dla dorosłych kotów, o smaku kurczaka",800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Brit-pelnoporcjowa-karma-sucha-dla-doroslych-kotow-o-smaku-kurczaka-800-g,2097047,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2097047_360_350_1734432648.webp,"19,49 zł","100 g = 2,44 zł",29.99,19.49,Niedostępny online; Sprawdź dostępność w drogerii
409962,BUTCHER'S,"karma pełnoporcjowa mokra dla dorosłych kotów, w galaretce z kurczakiem",400 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Butchers-Delicious-Dinners-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-w-galaretce-z-kurczakiem-,409962,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/409962_360_350_1727391786.webp,"4,79 zł","100 g = 1,20 zł",7.49,4.79,Niedostępny online; Sprawdź dostępność w drogerii
409963,BUTCHER'S,"karma pełnoporcjowa mokra dla dorosłych kotów, w galaretce, z wołowiną",400 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Butchers-Delicious-Dinners-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-w-galaretce-z-wolowina-,409963,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/409963_360_350_1727391792.webp,"4,79 zł","100 g = 1,20 zł",7.49,4.79,Niedostępny online; Sprawdź dostępność w drogerii
394152,CESAR,"karma pełnoporcjowa mokra dla dorosłych psów, klasyczna, z cielęciną i drobiem",150 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Cesar-karma-pelnoporcjowa-mokra-dla-doroslych-psow-klasyczna-z-cielecina-i-drobiem-150-g,394152,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/394152_360_350_1727435675.webp,"3,99 zł","100 g = 2,66 zł",5.99,3.99,Niedostępny online; Sprawdź dostępność w drogerii
394151,CESAR,"karma pełnoporcjowa mokra dla dorosłych psów, klasyczna, z wołowiną i wątróbką",150 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Cesar-karma-pelnoporcjowa-mokra-dla-doroslych-psow-klasyczna-z-wolowina-i-watrobka-150-g,394151,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/394151_360_350_1727435659.webp,"3,99 zł","100 g = 2,66 zł",5.99,3.99,Niedostępny online; Sprawdź dostępność w drogerii
2096983,DOGWAY,"smaczki dla małego psa, pałeczki wołowo-drobiowe",50 g,MEGA!,"https://www.rossmann.pl/Produkt/Przysmaki/DogWay-Chelsea-smaczki-dla-malego-psa-paleczki-wolowo-drobiowe-50-g,2096983,19130",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2096983_360_350_1733740660.webp,"3,99 zł","100 g = 7,98 zł",5.99,3.99,Niedostępny online; Sprawdź dostępność w drogerii
2096984,DOGWAY,"karma uzupełniająca dla psów, filet z piersi kaczej",50 g,MEGA!,"https://www.rossmann.pl/Produkt/Przysmaki/DogWay-Meaty-Snack-karma-uzupelniajaca-dla-psow-filet-z-piersi-kaczej-50-g,2096984,19130",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2096984_360_350_1732276312.webp,"6,49 zł","100 g = 12,98 zł",9.99,6.49,Niedostępny online; Sprawdź dostępność w drogerii
371679,DOLINA NOTECI,"karma pełnoporcjowa mokra dla dorosłych psów, z bażantem, dynią i makaronem",100 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Dolina-Noteci-Premium-Dla-Malych-Ras-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-bazantem-dynia,371679,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/371679_360_350_1727370719.webp,"4,19 zł","100 g = 4,19 zł",6.49,4.19,Niedostępny online; Sprawdź dostępność w drogerii
371678,DOLINA NOTECI,"karma pełnoporcjowa mokra dla dorosłych psów, z cielęciną, pomidorami i makaronem",100 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Dolina-Noteci-Premium-Dla-Malych-Ras-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-cielecina-pomi,371678,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/371678_360_350_1727370731.webp,"4,19 zł","100 g = 4,19 zł",6.49,4.19,Niedostępny online; Sprawdź dostępność w drogerii
